Title,Artist,Key,Tempo,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
"Animals (Victor Niglio & Martin Garrix Festival Trap Mix)","Martin Garrix","4A",140.0,"Dance & DJ","Animals","",1/13/2024,"C:\iTunes\Music\Martin Garrix\Animals\03 Animals (Victor Niglio & Martin Garrix Festival Trap Mix).mp3","4A - 7",,-8.7 dB,7,8,2137
"First","Dj Falcon","5B",123.3,"French House","Hello My Name Is Dj Falcon","",1/13/2024,"C:\iTunes\Music\DJ Falcon\Hello My Name Is Dj Falcon\01 First.mp3","5B - 5",1999,-13.6 dB,5,8,60
"How Many Drinks?","Miguel","5A",87.0,"Hit Single","Billboard Hit Single [Bubanee]","",1/13/2024,"C:\iTunes\Music\Miguel\Billboard Hit Single [Bubanee]\44 How Many Drinks_.mp3","5A - 8",2013,-9.8 dB,8,8,11355
"Radio Protector","65daysofstatic","9B",90.0,"Post-Rock/Math-Rock","Radio Protector","",6/29/2023,"C:\iTunes\Music\65daysofstatic\Radio Protector\01 Radio Protector.mp3","9B - 4",2006,-9.1 dB,4,4,32498
"Synthax","Luke Vibert","4A",118.0,"Electronic/IDM","YosepH","",1/13/2024,"C:\iTunes\Music\Luke Vibert\YosepH\02 Synthax.mp3","4A - 6",2003,-11.9 dB,6,8,963
"Never Relent","Autumn Thunder","10A",135.0,"Soundtrack","40 Years Of NFL Films Music","",6/29/2023,"C:\iTunes\Music\Autumn Thunder\40 Years Of NFL Films Music\08 Never Relent.mp3","10A - 4",2004,-13.4 dB,4,4,148
"Could It Be Magic","Donna Summer","8B",126.3,"Pop","","",1/13/2024,"C:\iTunes\Music\Donna Summer\Unknown Album\Could It Be Magic.mp3","8B - 6",,-16.5 dB,6,8,0
"Butcher's Tale","Zombies","7A",117.2,"Pop","Odessey & Oracle","",1/13/2024,"C:\iTunes\Music\Zombies\Odessey & Oracle\10 Butcher's Tale.mp3","7A - 4",1968,-17.2 dB,4,8,0
"Ms. Fat Booty","Amerigo Gazaway","5B",111.7,"","Yasiin Gaye: The Departure (Side One)","",6/29/2023,"C:\iTunes\Music\Amerigo Gazaway\Yasiin Gaye_ The Departure (Side One)\05 Ms. Fat Booty.mp3","5B - 7 - www.NewAlbumReleases.net",,-12.3 dB,7,8,4
"Rudolph The Red Nosed Reindeer","Dean Martin","9B",139.2,"Chirstmas Songs","Top Christmas Songs of All Time","",1/13/2024,"C:\iTunes\Music\Dean Martin\Top Christmas Songs of All Time\02 Rudolph The Red Nosed Reindeer.mp3","9B - 3",1997,-15.3 dB,3,8,0
"Instrumentals - Freestyle MIx","Instrumentals","5A",89.0,"Other","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Instrumentals - Freestyle MIx.mp3","5A - 6",,-13.6 dB,6,8,3152
"In Flight","Archigram","6A",124.1,"House","CRYDA 014","",6/29/2023,"C:\iTunes\Music\Archigram\CRYDA 014\03 In Flight.mp3","6A - 6",2001,-16.5 dB,6,5,66
"Top Floor","TNGHT","7A",148.6,"Electronic","TNGHT ","",1/13/2024,"C:\iTunes\Music\TNGHT\TNGHT\01 Top Floor.mp3","7A - 6",2012,-12.9 dB,6,4,0
"Helix (Live / AAA)","Justice","7A",117.0,"Electronic","Access All Arenas (Live)","",1/13/2024,"C:\iTunes\Music\Justice\Access All Arenas (Live)\02 Helix (Live _ AAA).mp3","7A - 7",2013,-10.1 dB,7,8,16768
"Sweet Love (2014 Rework)","Luca M, JUST2","12A",123.0,"Progressive House, Deep House, Tech House, Electro House, Indie Dance / Nu Disco","Beatport Top 100 March 2014","",1/13/2024,"C:\iTunes\Music\Various Artists\Beatport Top 100 March 2014\65 Sweet Love (2014 Rework).mp3","12A - 5",2014,-10.1 dB,5,6,15667
"Cock,Ver10","Aphex Twin","10A",85.1,"Electronic","Druqs [CD1]","",6/29/2023,"C:\iTunes\Music\Aphex Twin\Druqs [CD1]\08 Cock,Ver10.mp3","10A - 7",2001,-13.8 dB,7,8,0
"Alphaville - Forever Young - Lyrics â-«","Alphaville","8B",136.8,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Alphaville - Forever Young - Lyrics â-«.mp3","8B - 4",,-17.0 dB,4,8,0
"Crystalised","The XX","10A",122.9,"Indie","XX","",1/13/2024,"C:\iTunes\Music\XX, The\XX\1-03 Crystalised.mp3","10A - 5",2009,-14.3 dB,5,8,2118
"Crime","Melvin Van Peebles/Quasimoto","1A",102.1,"Hip Hop","The Further Adventures of Lord Quas","",1/13/2024,"C:\iTunes\Music\Quasimoto\The Further Adventures of Lord Quas\03 Crime.mp3","1A - 5",2005,-11.0 dB,5,5,121
"Awaiting","Fujitsu","7A",140.0,"","Chillhop Raw Cuts 2","",1/13/2024,"C:\iTunes\Music\Chillhop Records\Chillhop Raw Cuts 2\18 Awaiting.mp3","7A - 4 - Visit http://chillhop.bandcamp.com",2017,-14.5 dB,4,5,34
"10_Song Of The South-Zip-A-Dee-Doo-Dah","","9B",128.6,"","Disney Songs","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Disney Songs\10_Song Of The South-Zip-A-Dee-Doo-Dah.mp3","9B - 2",,-20.2 dB,2,4,0
"Someday","Two Door Cinema Club","8A",144.0,"Indie","Beacon","",1/13/2024,"C:\iTunes\Music\Two Door Cinema Club\Beacon\1-05 Someday.mp3","8A - 7",2012,-10.2 dB,7,6,3535
"Robot Rock (Soulwax Remix)","Daft Punk","7A",123.0,"House","Robot Rock","",1/13/2024,"C:\iTunes\Music\Daft Punk\Robot Rock\02 Robot Rock (Soulwax Remix).mp3","7A - 7",2005,-11.0 dB,7,8,397
"The Session feat. Henrik Schwarz, Yoshihiro Tsukahara","Kuniyuki Takahashi","1A",124.0,"Hip-Hop","Mellow Beats, Friends & Lovers","",1/13/2024,"C:\iTunes\Music\Compilations\Mellow Beats, Friends & Lovers\11 The Session feat. Henrik Schwarz, Yoshihiro Tsukahara.mp3","1A - 5",2009,-13.1 dB,5,8,801
"Here come the flutes","Onra","7A",92.2,"Other","Chinoiseries","",1/13/2024,"C:\iTunes\Music\Onra\Chinoiseries\18 Here come the flutes.mp3","7A - 6",,-9.0 dB,6,8,410
"Sky With Hand","Blue Sky Black Death","5A",140.0,"","NOIR","",1/13/2024,"C:\iTunes\Music\Blue Sky Black Death\NOIR\14 Sky With Hand.mp3","5A - 5",2011,-9.6 dB,5,8,6484
"06_Lady And The Tramp-Hes A Tramp","","8A",105.6,"","Disney Songs","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Disney Songs\06_Lady And The Tramp-Hes A Tramp.mp3","8A - 4",,-19.5 dB,4,7,0
"Singapore Madness (Original Mix) [GND Records]","Shinichi Osawa, Paul Chambers","7A",128.0,"Blues","","",1/13/2024,"C:\iTunes\Music\Shinichi Osawa, Paul Chambers\Unknown Album\Singapore Madness (Original Mix) [GND Records].mp3","7A - 8",,-10.0 dB,8,8,369
"Springtime","Soulchef","5A",93.0,"","Chillhop Essentials - Spring 2016","",1/13/2024,"C:\iTunes\Music\Chillhop Records\Chillhop Essentials - Spring 2016\12 Springtime.mp3","5A - 6 - Visit http://chillhop.bandcamp.com",2016,-12.0 dB,6,7,98
"Tree","Aphex Twin","1A",103.9,"Ambient","Selected Ambient Works, Volume II [CD1]","",5/27/2022,"C:\iTunes\Music\Aphex Twin\Selected Ambient Works, Volume II [CD1]\10 Tree.mp3","1A - 1",1994,-20.7 dB,1,8,0
"Home Made Polysynth","AFX","3A",103.2,"Electronic","Analord 04","",6/29/2023,"C:\iTunes\Music\AFX\Analord 04\02 Home Made Polysynth.mp3","3A - 3",2005,-14.2 dB,3,8,12
"Burnside","JKS","6A",144.0,"","Volume 4","",1/13/2024,"C:\iTunes\Music\Dred Collective\Volume 4\14 Burnside.mp3","6A - 7 - Visit http://dredcollective.bandcamp.com",2017,-11.2 dB,7,8,0
"C2","Native Instruments","3A",127.8,"","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\C2.wav","3A - 4",,-11.7 dB,4,0,0
"Now I'm Here","Queen","10A",136.8,"Rock","Queen Rocks","",1/13/2024,"C:\iTunes\Music\Queen\Queen Rocks\08 Now I'm Here.mp3","10A - 5",1974,-14.0 dB,5,8,0
"Stars (Original Mix)","Vicetone feat. Jonny Rose","9A",128.0,"","Beatport Top 100 April 2013","",1/13/2024,"C:\iTunes\Music\Vicetone feat. Jonny Rose\Beatport Top 100 April 2013\30 Stars (Original Mix).mp3","9A - 8",2013,-8.4 dB,8,8,510
"V.I.C. - Wobble 1","V.I.C.","9A",95.0,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\V.I.C. - Wobble 1.mp3","9A - 7",,-7.6 dB,7,8,47732
"Fire Power (Original Mix)","Wolfgang Gartner","2A",128.0,"Tech House","Fire Power / Latin Fever","",1/13/2024,"C:\iTunes\Music\Wolfgang Gartner\Fire Power _ Latin Fever\1-01 Fire Power (Original Mix).mp3","2A - 8",2009,-8.5 dB,8,8,18324
"Limmerstreet India 1","","8A",111.1,"","","",6/29/2023,"D:\Breakfast Beats\LimmerStreet\Samples\Limmerstreet India 1.wav","8A - 4",,-18.6 dB,4,0,0
"Shiki no Uta","MINMI","3A",92.5,"Other","Samurai Champloo: Departure","",1/13/2024,"C:\iTunes\Music\Compilations\Samurai Champloo_ Departure\17 Shiki no Uta.mp3","3A - 5",2004,-10.0 dB,5,8,60
"Don't Shoot Me Santa","The Killers","5B",149.5,"Holiday","(RED) Christmas - EP","",1/13/2024,"C:\iTunes\Music\The Killers\(RED) Christmas - EP\02 Don't Shoot Me Santa.mp3","5B - 6",2011,-14.0 dB,6,3,264
"Gladiator - Hans Zimmer","Cinema Themes and Music","8A",131.5,"Soundtrack","Cinema Themes and Music","",1/13/2024,"C:\iTunes\Music\Cinema Themes and Music\Cinema Themes and Music\Gladiator - Hans Zimmer.mp3","8A - 3",2006,-18.5 dB,3,8,0
"Eric Prydz - Pjanoo (WildVibes 2K16 Edit)","Eric Prydz","6A",128.0,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Eric Prydz - Pjanoo (WildVibes 2K16 Edit).mp3","6A - 8",2017,-9.6 dB,8,8,10479
"Cat Stevens / Hard Headed Woman","Cat Stevens","8A",139.9,"Folk","The Very Best Of","",1/13/2024,"C:\iTunes\Music\Cat Stevens\The Very Best Of\10 Cat Stevens _ Hard Headed Woman.mp3","8A - 6",2003,-18.1 dB,6,5,167
"Soul Rapper* 1 verse","Ray Rock","7A",95.0,"Christian Rap","City Of God A Tale Of 2 Cities","",1/13/2024,"C:\iTunes\Music\Ray Rock\City Of God A Tale Of 2 Cities\07 Soul Rapper_ 1 verse.mp3","7A - 5 -  00000399 00000046 00004045 000019B7 0002B543 0003CE7D 0000649E 0000666D 0001DFE5 0001DFE5",,-16.7 dB,5,8,0
"muppet show theme song","Theme Song","8A",116.2,"Theme Song","Theme Song","",1/13/2024,"C:\iTunes\Music\Theme Song\Theme Song\muppet show theme song.mp3","8A - 5",,-15.1 dB,5,8,31
"Afro Jacker Louie Edit","","5A",127.0,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Afro Jacker Louie Edit.mp3","5A - 6",,-11.6 dB,6,8,0
"We On D-Block (Instrumental)","Nu Jerzey Devil","9A",85.0,"Hip-Hop","Nu Jerzey Devil-Sounds From Th","",1/13/2024,"C:\iTunes\Music\Nu Jerzey Devil\Nu Jerzey Devil-Sounds From Th\We On D-Block (Instrumental).mp3","9A - 6",2006,-12.8 dB,6,3,1795
"What We Tell Dem","GTA & Wiwek","4A",128.0,"Jungle Terror","Death To Genres Vol. 1","",1/13/2024,"C:\iTunes\Music\GTA\Death To Genres Vol. 1\02 What We Tell Dem.mp3","4A - 8",,-12.2 dB,8,8,0
"Spotlight DIR","Gucci Mane feat. Usher","5A",125.0,"","","",1/13/2024,"C:\iTunes\Music\Gucci Mane feat. Usher\Unknown Album\Spotlight DIR.mp3","5A - 7",,-9.4 dB,7,8,6366
"Come On","Andy Hunter","8A",137.0,"General Electronic","Life","",6/29/2023,"C:\iTunes\Music\Andy Hunter\Life\02 Come On.mp3","8A - 7",2005,-8.0 dB,7,8,61861
"Luminous feat. Aurora Lotus","DZI and GAWTBASS","7A",140.0,"Bass","Get Trapped Vol. 1","",1/13/2024,"C:\iTunes\Music\Various Artists\Get Trapped Vol. 1\12 Luminous feat. Aurora Lotus.mp3","7A - 6",2014,-12.9 dB,6,8,1
"System Audio 20120318 1431","","5A",104.2,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\System Audio 20120318 1431.mp3","5A - 4",,-37.2 dB,4,0,0
"Don't Stop the Party (feat. TJR)","Pitbull","11A",127.0,"Pop","Now That's What I Call Music! 84","",1/13/2024,"C:\iTunes\Music\Various Artists\Now That's What I Call Music! 84\2-03 Don't Stop the Party (feat. TJR).mp3","11A - 7",2013,-10.0 dB,7,8,890
"Tur Hende Hisa Man","Menasa & Cesqeaux","4A",141.5,"","Otrabanda EP","",1/13/2024,"C:\iTunes\Music\Menasa & Cesqeaux\Otrabanda EP\02 Tur Hende Hisa Man.mp3","4A - 8",2017,-11.3 dB,8,8,1673
"Track 18","Jay Dee","6A",92.3,"Hip Hop/Rap","3 Beat Tapes","instrumental",1/13/2024,"C:\iTunes\Music\Jay Dee\3 Beat Tapes\3-18 Track 18.mp3","6A - 5",2005,-15.7 dB,5,7,976
"Complications (Original Mix)","Deadmau5","10A",128.0,"Progressive House","It Sounds Like","It Sounds Like",5/27/2022,"C:\iTunes\Music\Deadmau5\It Sounds Like\05 Complications (Original Mix).mp3","10A - 7",2006,-10.1 dB,7,8,259
"Ful Stop","Radiohead","10A",151.2,"Alternative","A Moon Shaped Pool","",1/13/2024,"C:\iTunes\Music\Radiohead\A Moon Shaped Pool\05 Ful Stop.m4a","10A - 5",2016,-11.6 dB,5,4,0
"Think Of You Instrumental","Ray Rock","9A",148.0,"Instrumental","Lordz Knights","",1/13/2024,"C:\iTunes\Music\Ray Rock\Lordz Knights\04 Think Of You Instrumental.m4a","9A - 4",,-21.6 dB,4,8,0
"intro hihat dt","DJ Shiftee","2A",140.0,"Dubstep Scratch","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\intro hihat dt.wav","2A - 4",,-43.7 dB,4,0,0
"17. sven vath & miss kitten - je t'aime moi non plus","2 Many DJ's","3B",90.2,"Dance","As Heard On Radio Soulwax - Part 7","",6/29/2023,"C:\iTunes\Music\2 Many DJ's\As Heard On Radio Soulwax - Part 7\17. sven vath & miss kitten - je t'aime moi non plus.mp3","3B - 7",,-18.9 dB,7,5,0
"CAMON","Dred Collective","3A",80.0,"","1NDV - UNDERGROUND JAP","",1/13/2024,"C:\iTunes\Music\Dred Collective\1NDV - UNDERGROUND JAP\10 CAMON.mp3","3A - 7 - Visit http://dredcollective.bandcamp.com",2016,-10.5 dB,7,8,0
"bad things happen in philadelphia","","3A",109.8,"","","",6/29/2023,"D:\Breakfast Beats\Meek Mill Merengue Project\bad things happen in philadelphia.wav","3A - 3",,-19.1 dB,3,0,0
"20200828 185808","","10A",139.0,"","","",6/29/2023,"C:\Users\louis.media\Music\iTunes\iTunes Media\Voice Memos\20200828 185808.m4a","10A - 3",,-20.5 dB,3,8,0
"Sabotage","Beastie Boys","1A",84.0,"Hip Hop","Solid gold hits","",1/13/2024,"C:\iTunes\Music\Beastie Boys\Solid gold hits\14 Sabotage.mp3","1A - 5",2005,-9.4 dB,5,8,4712
"THAT'S OKAY","MARC ANTHONY","2A",131.1,"SALSA","THE CONCERT FROM MADISON SQUEARE GARDEN","",1/13/2024,"C:\iTunes\Music\MARC ANTHONY\THE CONCERT FROM MADISON SQUEARE GARDEN\14 THAT'S OKAY.mp3","2A - 4",2004,-14.5 dB,4,3,0
"Release","M O O N","5A",108.0,"Multiple Genres","Hotline Miami","",1/13/2024,"C:\iTunes\Music\Hotline Miami\Hotline Miami\12 Release.mp3","5A - 5",2012,-17.3 dB,5,5,0
"Cat Stevens / How Can I Tell You","Cat Stevens","10B",118.3,"Folk","The Very Best Of","",1/13/2024,"C:\iTunes\Music\Cat Stevens\The Very Best Of\19 Cat Stevens _ How Can I Tell You.mp3","10B - 2",2003,-16.1 dB,2,8,108
"Blind Concerto","Mr. Oizo","12A",110.0,"Electronic","Lambs Anger","",1/13/2024,"C:\iTunes\Music\Mr. Oizo\Lambs Anger\17 Blind Concerto.mp3","12A - 7",2008,-10.1 dB,7,6,6
"Push & Rise","Wolfgang Gartner","5A",129.0,"Electro House","Push & Rise","",1/13/2024,"C:\iTunes\Music\Wolfgang Gartner\Push & Rise\1-01 Push & Rise.mp3","5A - 7",2009,-9.0 dB,7,8,6183
"Time Machine - The Time Machine - Klaus Badelt","Cinema Themes and Music","8A",84.1,"Soundtrack","Cinema Themes and Music","",1/13/2024,"C:\iTunes\Music\Cinema Themes and Music\Cinema Themes and Music\Time Machine - The Time Machine - Klaus Badelt.mp3","8A - 3",,-20.2 dB,3,6,8
"NY Excuse","Justice","8A",139.9,"Electronica","A Cross The Universe","",1/13/2024,"C:\iTunes\Music\Justice\A Cross The Universe\17 NY Excuse.mp3","8A - 7",2008,-10.6 dB,7,8,9746
"Heavy (Chronic Mix)","Jay Dee","12A",87.5,"Hip Hop/Rap","Champion Sound","stones throw",1/13/2024,"C:\iTunes\Music\Jay Dee\Champion Sound\2-22 Heavy (Chronic Mix).mp3","12A - 6",2007,-13.2 dB,6,7,393
"Matrix Reloaded, The - Juno Reactor Don Davis Mona Lisa - Overdrive","Cinema Themes and Music","3A",152.0,"Soundtrack","Cinema Themes and Music","",5/27/2022,"C:\iTunes\Music\Cinema Themes and Music\Cinema Themes and Music\Matrix Reloaded, The - Juno Reactor Don Davis Mona Lisa - Overdrive.mp3","3A - 4",,-10.7 dB,4,8,4305
"Virus (Instrumental)","Deltron 3030","5A",92.0,"Hip-Hop","Virus (12_Inch)","",6/14/2021,"C:\iTunes\Music\Deltron 3030\Virus (12_Inch)\03 Virus (Instrumental).mp3","5A - 6",2000,-16.4 dB,6,8,3
"Ghost Dancers Slay Together","Perturbator","5A",126.0,"","I Am The Night","",1/13/2024,"C:\iTunes\Music\PERTURBATOR\I Am The Night\11 Ghost Dancers Slay Together.mp3","5A - 6",2012,-6.7 dB,6,8,1151
"Machine Girl - MG2","Dred Collective","4A",120.0,"","Machine Girl - WLFGRL","",1/13/2024,"C:\iTunes\Music\Dred Collective\Machine Girl - WLFGRL\13 Machine Girl - MG2.mp3","4A - 7 - Visit http://dredcollective.bandcamp.com",2014,-10.3 dB,7,5,352
"Lordz Knights - Lordz Knights - 00 - r&b","Ray Rock","1A",90.0,"Instrumental","Lordz Knights","",1/13/2024,"C:\iTunes\Music\Ray Rock\Lordz Knights\Lordz Knights - Lordz Knights - 00 - r&b.mp3","1A - 5                              ",2005,-19.1 dB,5,8,0
"Hertz Couture - LawDaMercy","Dred Collective","6A",80.0,"","Dred Collective : Vol. 2","",1/13/2024,"C:\iTunes\Music\Dred Collective\Dred Collective _ Vol. 2\14 Hertz Couture - LawDaMercy.mp3","6A - 6 - Visit http://dredcollective.bandcamp.com",2014,-11.6 dB,6,6,1974
"Hustle","Hucci","4A",130.0,"Dance","All Trap Music","",1/13/2024,"C:\iTunes\Music\Compilations\All Trap Music\14 Hustle.mp3","4A - 6",2013,-14.0 dB,6,8,2744
"Pulses","Steve Reich","11A",103.4,"Classical","Music for 18 Musicians","",1/13/2024,"C:\iTunes\Music\Steve Reich\Music for 18 Musicians\14 Pulses.mp3","11A - 2",,-22.2 dB,2,8,0
"(Every Time I Turn Around) Back In Love Again (Remastered)","L.T.D.","5B",110.0,"R&B/Soul","Something To Love (Remastered)","",9/8/2021,"C:\Users\louis.media\Music\Disco\(Every Time I Turn Around) Back In Love Again (Remastered) L.T.D..mp3","5B - 4",,-31.9 dB,4,4,0
"Last Exit","Pearl Jam","8A",139.0,"Rock","Vitalogy","",1/13/2024,"C:\iTunes\Music\Pearl Jam\Vitalogy\2-01 Last Exit.mp3","8A - 6",2011,-11.7 dB,6,8,353
"Ragga Twins","Luke Vibert & Aphex Twin","2A",110.8,"dj set","Live Pukkelpop DJ's Sound Clash","",1/13/2024,"C:\iTunes\Music\Luke Vibert & Aphex Twin\Live Pukkelpop DJ's Sound Clash\16 Ragga Twins.mp3","2A - 6",2002,-11.6 dB,6,8,8
"I Ain't No Joke","Eric B. & Rakim","1A",104.2,"Hip-Hop","Paid In Full","",1/13/2024,"C:\iTunes\Music\Eric B. & Rakim\Paid In Full\01 I Ain't No Joke.mp3","1A - 6",1987,-15.3 dB,6,3,0
"Metteng Excuske V1 2","Squarepusher","3A",125.2,"","Go Plastic","",1/13/2024,"C:\iTunes\Music\Squarepusher\Go Plastic\04 Metteng Excuske V1 2.mp3","3A - 3",,-19.3 dB,3,7,9
"Punjabis, Pimps & Players","Dan The Automator","6A",98.9,"Electronic","Bombay The Hard Way (Guns, Cars & Sitars)","",1/13/2024,"C:\iTunes\Music\Soundtrack\Bombay The Hard Way (Guns, Cars & Sitars)\08 Punjabis, Pimps & Players.mp3","6A - 6",1999,-15.1 dB,6,6,0
"Track 1_001","","10A",109.9,"","","",6/29/2023,"D:\Breakfast Beats\2019-03-19\Untitled Session 2\Untitled Session 2_Recorded\Track 1_001.wav","10A - 3",,-33.0 dB,3,8,0
"Flynn Lives","Daft Punk","1A",108.0,"Soundtrack","Tron: Legacy (CD1)","",1/13/2024,"C:\iTunes\Music\Daft Punk\Tron_ Legacy (CD1)\1-20 Flynn Lives.mp3","1A - 3",2010,-16.3 dB,3,5,0
"Gotta Have U (Original Mix)","Touch & Go","3A",121.0,"","Beatport Top 100 April 2013","",1/13/2024,"C:\iTunes\Music\Touch & Go\Beatport Top 100 April 2013\68 Gotta Have U (Original Mix).mp3","3A - 6",2013,-9.0 dB,6,8,4532
"Jazz Undercurrents","Autumn Thunder","11A",147.8,"Soundtrack","40 Years Of NFL Films Music","",6/29/2023,"C:\iTunes\Music\Autumn Thunder\40 Years Of NFL Films Music\19 Jazz Undercurrents.mp3","11A - 5",2004,-16.2 dB,5,8,2
"Funkytown (Long Version)","Lipps, Inc.","5A",122.5,"Dance","Funkytown","",9/8/2021,"C:\Users\louis.media\Music\Disco\Funkytown (Long Version) Lipps, Inc..mp3","5A - 6",2003,-29.9 dB,6,8,0
"Leaves That Are Green","Simon and Garfunkel","12B",105.4,"Pop","Sounds Of Silence","",1/13/2024,"C:\iTunes\Music\Simon and Garfunkel\Sounds Of Silence\02 Leaves That Are Green.mp3","12B - 4",2010,-18.8 dB,4,5,0
"Nas(Alchemist Beat) - Book of Rhymes","Instrumentals","6A",84.1,"Instrumental INstrumental","","",1/13/2024,"C:\iTunes\Music\Instrumentals\Unknown Album\Nas(Alchemist Beat) - Book of Rhymes.mp3","6A - 5",,-13.7 dB,5,3,1263
"Maps","Emancipator","12A",99.0,"Trip-Hop","Soon It Will Be Cold Enough","",1/13/2024,"C:\iTunes\Music\Emancipator\Soon It Will Be Cold Enough\1-12 Maps.mp3","12A - 4",2006,-14.1 dB,4,8,0
"Burnin' (Edit Version)","Daft Punk","11A",124.3,"House","Burnin'","",1/13/2024,"C:\iTunes\Music\Daft Punk\Burnin'\01 Burnin' (Edit Version).MP3","11A - 7",1997,-12.8 dB,7,8,3914
"Total Recall - Main Theme - Jerry Goldsmith","Cinema Themes and Music","6A",121.0,"Soundtrack","Cinema Themes and Music","",1/13/2024,"C:\iTunes\Music\Cinema Themes and Music\Cinema Themes and Music\Total Recall - Main Theme - Jerry Goldsmith.mp3","6A - 4",,-20.6 dB,4,7,0
"Kilometer (Aeroplane 'Italo 84' Mix)","Sebastien Tellier","2A",120.9,"Electronic","Disco Balearica","",1/13/2024,"C:\iTunes\Music\Aeroplane\Disco Balearica\12 Kilometer (Aeroplane 'Italo 84' Mix).mp3","2A - 7",2009,-9.2 dB,7,5,4632
"GUAH 3 (Danny Twitch Adlibs - nov22)","GUAH 3 (Danny Twitch Adlibs","4A",157.7,"","","",1/13/2024,"D:\Breakfast Beats\Danny Twitch Adlibs 48k - nov22\GUAH 3 (Danny Twitch Adlibs - nov22).wav","4A - 3",,-23.4 dB,3,0,0
"Betray My Heart","D'Angelo & The Vanguard","8A",103.3,"R&B/Soul","Black Messiah","",1/13/2024,"C:\iTunes\Music\D'Angelo & The Vanguard\Black Messiah\09 Betray My Heart.mp3","8A - 4",2014,-12.8 dB,4,8,32
"Brazil [2nd Edit]","Deadmau5","4B",128.0,"Electronica","Random Album Title","Random Album Title",1/13/2024,"C:\iTunes\Music\Deadmau5\Random Album Title\05 Brazil [2nd Edit].mp3","4B - 6",2008,-11.0 dB,6,5,206
"WINNER FT. SHERWINN ""DUPES"" BRICE","Radical One","12A",116.2,"","COSAS QUE CAMBIAMOS","",6/30/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - COSAS QUE CAMBIAMOS\Radical One - COSAS QUE CAMBIAMOS - 04 WINNER FT. SHERWINN -DUPES- BRICE.mp3","12A - 7 - Visit http://radicalone.bandcamp.com",2019,-9.6 dB,7,5,473
"Brujeria","El Gran Combo","10B",92.6,"Salsa","El Gran Combo - Exitos","",1/13/2024,"C:\iTunes\Music\El Gran Combo\El Gran Combo - Exitos\04 Brujeria.mp3","10B - 4",2010,-20.7 dB,4,8,0
"y2mate.com - Stand clear of the closing doors please_vOrD-mBdav8_1080p","y2mate.com","8A",113.0,"","","",1/13/2024,"D:\Breakfast Beats\Ode to Elmhurst Project\y2mate.com - Stand clear of the closing doors please_vOrD-mBdav8_1080p.wav","8A - 4",,-18.3 dB,4,0,0
"Empty Chairs At Empty Tables","Eddie Redmayne","7A",117.7,"Soundtrack","Les Miserables (Highlights From The Motion Picture Soundtrack)","",1/13/2024,"C:\iTunes\Music\VA\Les Miserables (Highlights From The Motion Picture Soundtrack)\19 Empty Chairs At Empty Tables.mp3","7A - 2",2012,-23.5 dB,2,8,0
"beep-beep","","2A",80.0,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\beep-beep.mp3","2A - 8",,-11.3 dB,8,8,10
"Track 35","Jay Dee","5A",89.7,"Hip Hop/Rap","Another Batch","instrumental",1/13/2024,"C:\iTunes\Music\Jay Dee\Another Batch\35 Track 35.mp3","5A - 5",1998,-23.4 dB,5,4,13
"Lick","Boards Of Canada","1A",99.3,"Electronica","Old Tunes, Volume 2","",1/13/2024,"C:\iTunes\Music\Boards of Canada\Old Tunes, Volume 2\35 Lick.mp3","1A - 5",1992,-21.9 dB,5,8,0
"C'mon Marianne","Frankie Valli & The Four Seasons","6A",99.5,"Other","25th Anniversary Collection (CD 2)","",1/13/2024,"C:\iTunes\Music\Frankie Valli & The Four Seasons\25th Anniversary Collection (CD 2)\18 C'mon Marianne.mp3","6A - 5",1967,-17.9 dB,5,7,4
"It's Only You (Sandy Rivera's Original Mix)","092. Kings of Tomorrow Feat April","8A",123.0,"","(soundz4.me) presents Beatport Top 100 April 2013","",6/29/2023,"C:\iTunes\Music\(soundz4.me)\(soundz4.me) presents Beatport Top 100 April 2013\It's Only You (Sandy Rivera's Original Mix).mp3","8A - 6",,-12.1 dB,6,8,25
"Floot","Wagon Christ","9A",92.0,"Electronica","Throbbing Pouch","",1/13/2024,"C:\iTunes\Music\Wagon Christ\Throbbing Pouch\07 Floot.mp3","9A - 5",1995,-13.4 dB,5,8,124
"CPU","Mr Oizo","1A",130.0,"Electronic","moustache","",1/13/2024,"C:\iTunes\Music\Mr Oizo\Moustache\07 CPU.mp3","1A - 7",2005,-14.4 dB,7,6,33
